"","accession","pval_bon: wt VS ko","pval_bon: wt-cyto-no glu VS wt-cyto-glu","pval_bon: wt-mem-glu VS wt-cyto-glu","pval_bon: wt-mem-glu VS wt-mem-no glu","pval_bon: wt-mem-no glu VS Δ-mem-no glu","pval_bon: Δ-mem-no glu VS Δ-mem-glu","pval_BY: wt VS ko","pval_BY: wt-cyto-no glu VS wt-cyto-glu","pval_BY: wt-mem-glu VS wt-cyto-glu","pval_BY: wt-mem-glu VS wt-mem-no glu","pval_BY: wt-mem-no glu VS Δ-mem-no glu","pval_BY: Δ-mem-no glu VS Δ-mem-glu","pval_BH: wt VS ko","pval_BH: wt-cyto-no glu VS wt-cyto-glu","pval_BH: wt-mem-glu VS wt-cyto-glu","pval_BH: wt-mem-glu VS wt-mem-no glu","pval_BH: wt-mem-no glu VS Δ-mem-no glu","pval_BH: Δ-mem-no glu VS Δ-mem-glu","AoverB: wt VS ko","AoverB: wt-cyto-no glu VS wt-cyto-glu","AoverB: wt-mem-glu VS wt-cyto-glu","AoverB: wt-mem-glu VS wt-mem-no glu","AoverB: wt-mem-no glu VS Δ-mem-no glu","AoverB: Δ-mem-no glu VS Δ-mem-glu"
"933","Q91W43",1,1,1,1,1,1,1,1,1,1,1,1,0.316646491336239,1,1,1,1,1,1.19579764453961,NA,NA,NA,NA,NA
"934","Q91W50",0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1.0240552435878,NA,NA,NA,NA,NA
"935","Q91W90",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2.07484249402564,0.812028427205099,NA,NA,1.63382269904009,0.823625159865132
"936","Q91WC3",1,1,1,1,1,1,1,1,1,1,1,1,0.910391177870939,1,1,1,1,1,0.861404962706578,1.625,NA,NA,NA,NA
"937","Q91WD5",1,1,1,0,1,1,1,1,1,0,1,1,0.933831503904025,1,1,0,0.278550062024701,0.711260271461082,0.968983119739862,NA,NA,1.36118251928021,0.678037848605578,0.926555410289935
"938","Q91WJ8",1,1,0,0,1,1,1,1,0,0,1,1,0.919740383314123,1,0,0,0.145905794889049,0.274411001054514,1.65346873016648,1.48156567167155,0.445853522362465,0.284102459849563,1.38460997149995,1.57335031000886
"939","Q91WK2",1,0,0,0,0.942070010430885,1,1,0,0,0,0.0310652856043156,1,0.306570809645794,0,0,0,0.00400880855502504,0.942477210361915,0.711833406047594,1.04294953291692,NA,NA,3.73248746391126,0.826239799121155
"940","Q91WQ3",0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0.868915955014224,2.44086135194192,NA,NA,1.79737659647912,0.918661804344379
"941","Q91WS0",1,1,1,1,0,0,1,1,1,1,0,0,0.700972086149965,1,1,1,0,0,1.80689069543826,NA,NA,NA,1.12184146763586,0.47870753935377
"942","Q91X97",1,1,1,1,1,1,1,1,1,1,1,1,0.884113391605189,1,1,1,1,1,1.01735226304926,NA,NA,NA,NA,NA
"943","Q91XV3",1,1,1,1,1,1,1,1,1,1,0.731509873593266,1,0.933831503904025,1,0.181738974704047,1,0.0943974272986755,0.942477210361915,0.970898428647633,0.714983129796064,2.98808635155713,0.685173203520555,0.73652454552331,1.01896836550393
"944","Q91YQ5",1,1,1,0,1,0.191851420588373,1,1,1,0,0.882627829869866,0.0107732308764298,0.977364470944107,1,1,0,0.113898389358248,0.00139022768542299,0.939727532410455,NA,NA,NA,1.4697388377553,0.705402157345524
"945","Q91YR7",1,1,1,1,1,1,1,1,1,1,1,1,0.40873660604941,1,1,1,1,1,1.25348088531188,NA,NA,NA,NA,NA
"946","Q91YT0",1,0,0,0,1,1,0.799952361896968,0,0,0,1,1,0.103229563469378,0,0,0,0.740483684821573,1,1.33635418444779,1.43188795088258,NA,NA,0.908273176831697,1.02864994445419
"947","Q91Z61",1,1,1,1,1,1,1,1,1,1,1,1,0.224862213452259,1,1,1,1,1,1.28508878779405,NA,NA,NA,NA,NA
"948","Q91ZA3",1,1,1,0,0,1,1,1,1,0,0,1,0.508725652015515,1,1,0,0,1,0.935905718368861,0.63791517629024,NA,NA,1.42670682730924,0.929682638456752
